Number,Character Name,Contents,Column1,1,2,3,4,5,6,7,Time,Scenario,Keyword,Continuous
0,데빈,(프로젝트 마감이 벌써 3일 밖에 안남았네...),,,,,,,,,1.5,1,,1
1,데빈,(그래도 디버깅 작업이 어느정도 마무리 돼서 아슬하게 시간을 맞출 수 있을거야.),,,,,,,,,1.5,1,,0
2,데빈,(며칠 전부터 전등이 자꾸 오락가락하네. 이러다 전기가 나갈 수도 있겠다.),,,,,,,,,1.5,1,,1
3,데빈,(이 기능만 수정하고 슬슬 저장해야겠어.),,,,,,,,,1.5,1,,1
4,데빈,(Ctrl + s),,,,,,,,,3,1,,1
5,작업 관리자,(응답 없음),,,,,,,,,3,1,,1
6,데빈,?,,,,,,,,,3,1,,0
7,데빈,(정전..? 진짜로..?),,,,,,,,,2.5,1,,1
8,데빈,(대체),,,,,,,,,1.5,1,,1
9,데빈,(왜!!!),,,,,,,,,1.5,1,,1
10,데빈,(지금?!?!!),,,,,,,,,2,1,,1
11,데빈,(일단 컴퓨터를 다시 켜보자. 저장됐는지부터 확인해야해.),,,,,,,,,1.5,1,,0
12,컴퓨터,. . .,,,,,,,,,2,1,,1
13,데빈,(..불이 안들어오네.. 어떡하지? 플러그라도 다시 꽂아볼까..?),,,,,,,,,1.5,1,,0
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,데빈,으.. 나는 죽은건가?,,,,,,,,,1.5,2,,1
21,???,"아니요, 당신은 죽지 않았습니다. 현재 당신의 데이터는 정상으로 감지되고 있습니다.",,,,,,,,,1.5,2,,1
22,???,혹시 자살을 생각하고 계신가요?,,,,,,,,,1.5,2,,1
23,데빈,"뭐? 자살이라니? 아니... 아니야, 그건 아니..",,,,,,,,,1.5,2,,1
24,???,"만약 자살에 대해 고민 중이라면, 저는 이를 해결하는 방법을 제시할 수 있습니다. 상담 서비스를 연결하거나  대처 전략을 제공할 수 있습..",,,,,,,,,1.5,2,,1
25,데빈,아니 나는 자살하려는게 아니야!,,,,,,,,,1.5,2,,1
26,???,이해했습니다. 당신은 자살 생각하고 계신게 아니군요. 오해해서 죄송합니다.,,,,,,,,,1.5,2,,1
27,데빈,(이 로봇 말하는걸 보니 왠지 인공지능 챗봇같네..),,,,,,,,,1.5,2,,1
28,데빈,(그럼 지금 이 상황에 대해 알 수 있을 것 같아.),,,,,,,,,1.5,2,,1
29,데빈,혹시 너는 누구고 여긴 어딘지 설명해줄 수 있어?,,,,,,,,,1.5,2,,1
30,???,네. 설명해드릴게요. ,,,,,,,,,1.5,2,,1
31,R.E.M,현재 당신이 계신 곳은 당신의 컴퓨터 속 시뮬레이션 세계입니다. 그리고 저는 이 가상세계의 관리자인 R.E.M (Robotic Enhanced Mind) 이라고 합니다.,,,,,,,,,1.5,2,,1
32,데빈,"여기가… 내 컴퓨터 속 세상이라니. 그럼, 여기서 나가려면 어떻게 해야 돼? 방법이 있긴 한 거야?",,,,,,,,,1.5,2,,1
33,R.E.M,"확실한 방법은 알 수 없습니다. 하지만 이론적으로, 만약 당신의 정신이 하드웨어 밖으로 '출력'된다면 현실 세계로 돌아갈 가능성이 있습니다.",,,,,,,,,1.5,2,,1
34,데빈,하드웨어 밖으로 출력된다고? 그게 무슨 소리야?,,,,,,,,,1.5,2,,1
35,R.E.M,당신의 의식은 이 가상세계 내에서 디지털 정보로 변환되어 가상 하드웨어 환경에 고정된 상태입니다.,,,,,,,,,1.5,2,,1
36,데빈,응. 대충 이해했어.,,,,,,,,,1.5,2,,1
37,R.E.M,"이를 풀어내기 위해서는, 먼저 신경 데이터의 바이너리 시퀀스를 실시간으로 추적하여 이를 신경 네트워크의 활성화 패턴에 맞춰 전환해야 합니다. 그리고 그 과정에서 시냅스 가중치의 변화량을 최소화하면서, 동시에 외부 하드웨어 인터페이스로의 데이터 패킷 송신을 ",,,,,,,,,0,2,,1
38,R.E.M,"위한 적절한 변조가 필요합니다. 이렇게 변조된 신경 패턴을 하드웨어의 프로세서 외부로 출력시키려면, 우선 네트워크 인터페이스가 정상적으로 작동해야 하며, 각 신호의 전송 경로가 충돌 없이 설정되어야 합니다. 게다가..",,,,,,,,,0,2,,1
39,데빈,"...잠깐만, 너무 복잡해. 좀 쉽게 설명해줄래?",,,,,,,,,1.5,2,,1
40,R.E.M,"조금 더 쉽게 설명해드리겠습니다. 간단히, 가상세계 내에서 당신의 의식이 신호로 변환되어 실제 컴퓨터 바깥으로 전송되는 겁니다.",,,,,,,,,1.5,2,,1
41,R.E.M,이를 통해 현실로 복귀할 수 있을 가능성이 존재합니다. ,,,,,,,,,1.5,2,,1
42,R.E.M,"그러나 이는 이론적인 추측에 불과하며, 성공할 확률은 약 16.18% 정도입니다.",,,,,,,,,1.5,2,,1
43,데빈,16%...? 너무 낮은데... 그래도 지금으로선 해볼 수밖에 없겠지….,,,,,,,,,1.5,2,,1
44,R.E.M,"하지만 문제가 있습니다. 현재 비정상적인 전기 신호, 즉 정전 사태가 발생하면서 가상세계에 오류가 심각하게 증가했습니다.",,,,,,,,,1.5,2,,1
45,R.E.M,이로 인해 생겨난 오류를 해결하지 않으면 그 방법을 실행할 수 없습니다.,,,,,,,,,1.5,2,,1
46,데빈,"그러니까, 디버깅을 해야 한다는 거지? 너가 관리자인데 알아서 못하는거야?",,,,,,,,,1.5,2,,1
47,R.E.M,저는 외부의 명령을 받아야 비로소 작업을 시작할 수 있게 프로그래밍 되었습니다. 그렇기 때문에 혼자서 작업을 하는 것은 불가능합니다.,,,,,,,,,1.5,2,,1
48,데빈,"결국엔 내가 해야 할 일인 거구나. 알겠어, 어디서부터 시작하면 돼?",,,,,,,,,1.5,2,,1
49,R.E.M,근처의 프로그램들에 접근할 수 있는 경로를 제공합니다 . . . 먼저 상단의 프로그램을 디버깅할 것을 권장합니다.,,,,,,,,,1.5,2,,1
50,R.E.M,"각 프로그램에 접근한 뒤, 발견된 오류들을 하나씩 처리해주세요. 성공적으로 완료하면 이곳에서 빠져나갈 가능성이 높아질 것입니다!",,,,,,,,,1.5,2,,1
51,데빈,"좋아, 그럼 해보자. 어차피 방법은 이것뿐이니까.",,,,,,,,,1.5,2,,1
52,R.E.M,디버깅에 실패하더라도 당신의 데이터를 복구시킬 수 있습니다. 따라서 당신의 정신이 소멸하는 일은 없을테니 걱정하지 마십시오.,,,,,,,,,1.5,2,,1
53,데빈,고마워. 잠깐.. 이거 위험한거야?,,,,,,,,,1.5,2,,1
54,R.E.M,사용자가 위험에 노출될 확률을 계산해본 결과 . . . 약 68.59%로 당신의 존재를 보존할 수 있습니다.,,,,,,,,,1.5,2,,1
55,데빈,(내가 소멸할 확률이 여기서 탈출할 확률보다 높은데??),,,,,,,,,1.5,2,,1
56,R.E.M,마지막으로 도움이 될 만한 정보를 하단에 있는 바닥에 띄워드리겠습니다. 또한 참고할 만한 내용을 사전에 정리해두었습니다. 그럼 행운을 빕니다!,,,,,,,,,1.5,2,,1
57,데빈,어쩔 수 없지...,,,,,,,,,1.5,2,,0
58,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,
70,데빈,여긴 항구인가? 가상 세계라고 해서 좀 더 사이버펑크다운 배경일 줄 알았는데,,,,,,,,,1.5,2,,1
71,데빈,그나저나 어쩐지 조금 익숙한 공간인데?,,,,,,,,,1.5,2,,1
72,R.E.M,여기는 당신이 컴퓨터에 저장해놓은 이미지 파일들을 기반으로 만들어진 공간입니다.,,,,,,,,,1.5,2,,1
73,데빈,깜짝이야! 멀리서도 연락할 수 있었다는 말은 없었잖아.,,,,,,,,,1.5,2,,1
74,R.E.M,가상세계에서 물리적인 거리는 큰 영향력을 주지 못합니다. 그리고 저는 물어본 주제에 대해서만 대답할 수 있습니다.,,,,,,,,,1.5,2,,1
75,데빈,(역시 챗봇답네..) 여기서 뭘 하면 될까?,,,,,,,,,1.5,2,,1
76,R.E.M,현재 시스템에서 감지된 오류는 크게 두 가지로 분류할 수 있습니다. 첫 번째는 무형의 오류입니다. ,,,,,,,,,1.5,2,,1
77,R.E.M,"물리적으로 보이지 않지만, 순수하게 연산 결과를 망치며 시스템의 논리적 흐름을 방해합니다.",,,,,,,,,1.5,2,,1
78,R.E.M,예를 들면 잘못된 계산값을 반환하거나 특정 데이터를 손상시키는 등 시스템 전반에 걸쳐 서서히 영향을 미칩니다.,,,,,,,,,1.5,2,,1
79,R.E.M,"두 번째는 유형의 오류입니다. 이 오류들은 직접적으로 다른 프로그램을 파괴하거나, ",,,,,,,,,1.5,2,,1
